"Rank","Title","Status","Study Results","Conditions","Interventions","Gender","Age","Phases","Enrollment","Completion Date","Locations","URL"
245,"Mesenchymal Stromal Cells For Acute Respiratory Distress Syndrome","Active, not recruiting","No Results Available","Respiratory Distress Syndrome, Adult","Biological: Human Mesenchymal Stromal Cells|Biological: Cell Reconstitution Media","All","18 Years and older   (Adult, Older Adult)","Phase 2","120","July 1, 2024","University of California Davis Medical Center, Sacramento, California, United States|Zuckerberg San Francisco General Hospital and Trauma Center, San Francisco, California, United States|University of California San Francisco, San Francisco, California, United States|Oregon Health & Science University, Portland, Oregon, United States|Vanderbilt University Medical Center, Nashville, Tennessee, United States|Memorial Hermann Hospital - Texas Medical Center, Houston, Texas, United States|Harborview Medical Center, Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT03818854"
246,"Sleep Intervention During Acute Lung Injury","Completed","No Results Available","Critical Illness|Sleep|Acute Lung Injury|Acute Respiratory Distress Syndrome","Drug: Dexmedetomidine|Drug: Midazolam and Fentanyl","All","18 Years to 85 Years   (Adult, Older Adult)","Phase 4","90","January 2019","Southern Arizona VA Health Care System, Tucson, Arizona, United States|University Medical Center, Tucson, Arizona, United States","https://ClinicalTrials.gov/show/NCT01050699"
247,"Study of Immunomodulation Using Naltrexone and Ketamine for COVID-19","Terminated","Has Results","COVID-19|Acute Respiratory Distress Syndrome|Severe Acute Respiratory Syndrome (SARS)|Coronavirus Infections","Drug: Naltrexone|Drug: Ketamine|Other: Placebo","All","18 Years and older   (Adult, Older Adult)","Phase 2","70","April 1, 2021","William Beaumont Hospital, Royal Oak, Michigan, United States","https://ClinicalTrials.gov/show/NCT04365985"
248,"Early Versus Delayed Enteral Feeding and Omega-3 Fatty Acid/Antioxidant Supplementation for Treating People With Acute Lung Injury or Acute Respiratory Distress Syndrome (The EDEN-Omega Study)","Terminated","No Results Available","Respiratory Distress Syndrome, Adult","Behavioral: Minimal (Trophic) Feeding|Behavioral: Full Feeding|Dietary Supplement: Omega-3 Fatty Acids and Antioxidant Supplements|Dietary Supplement: Placebo","All","13 Years and older   (Child, Adult, Older Adult)","Phase 3","272","April 2009","University of San Francisco-Fresno Medical Center, Fresno, California, United States|University of California, Davis Medical Center, Sacramento, California, United States|UCSF-Moffitt Hospital, San Francisco, California, United States|UCSF-San Francisco General Hospital, San Francisco, California, United States|Centura St. Anthony Central Hospital, Denver, Colorado, United States|Denver Health Medical Center, Denver, Colorado, United States|Rose Medical Center, Denver, Colorado, United States|University of Colorado Health Sciences Center, Denver, Colorado, United States|Washington Hospital Center, Washington DC, District of Columbia, United States|Baton Rouge General Hospital-Blue Bonnet, Baton Rouge, Louisiana, United States|Baton Rouge General Hospital-Midcity, Baton Rouge, Louisiana, United States|Earl K. Long Medical Center, Baton Rouge, Louisiana, United States|Our Lady of the Lake Regional Medical Center, Baton Rouge, Louisiana, United States|Medical Center of Louisiana, New Orleans, Louisiana, United States|Ochsner Clinic Foundation, New Orleans, Louisiana, United States|Tulane University Health Sciences Center, New Orleans, Louisiana, United States|Baltimore VA Medical Center, Baltimore, Maryland, United States|Johns Hopkins Bayview Medical Center, Baltimore, Maryland, United States|Johns Hopkins Hospital, Baltimore, Maryland, United States|University of Maryland Shock Trauma Center, Baltimore, Maryland, United States|Baystate Medical Center, Springfield, Massachusetts, United States|Rochester Methodist Hospital, Rochester, Minnesota, United States|St. Mary's Hospital, Mayo Clinic, Rochester, Minnesota, United States|University of North Carolina, Chapel Hill, North Carolina, United States|Duke University Medical Center, Durham, North Carolina, United States|Durham Regional Medical Center, Durham, North Carolina, United States|Moses Cone Health System, Greensboro, North Carolina, United States|Wesley Long Community Hospital, Greensboro, North Carolina, United States|Wake Forest University Baptist Medical Center, Winston Salem, North Carolina, United States|Cleveland Clinic Foundation, Cleveland, Ohio, United States|MetroHealth Medical Center, Cleveland, Ohio, United States|University Hospitals of Cleveland, Cleveland, Ohio, United States|Vanderbilt University Medical Center, Nashville, Tennessee, United States|Baylor College of Medicine, Houston, Texas, United States|Intermountain Medical Center, Murray, Utah, United States|McKay-Dee Hospital, Ogden, Utah, United States|Utah Valley Regional Medical Center, Provo, Utah, United States|LDS Hospital, Salt Lake City, Utah, United States|University of Virginia Medical Center, Charlottesville, Virginia, United States|Harborview Medical Center, Seattle, Washington, United States|University of Washington, Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT00609180"
249,"A Study of Brexanolone for Acute Respiratory Distress Syndrome (ARDS) Due to Coronavirus Disease 2019 (COVID-19)","Terminated","Has Results","Acute Respiratory Distress Syndrome|COVID-19","Drug: Brexanolone|Drug: Placebo","All","18 Years and older   (Adult, Older Adult)","Phase 3","29","July 1, 2021","Sage Investigational Site, Fresno, California, United States|Sage Investigational Site, Augusta, Georgia, United States|Sage Investigational Site, Boston, Massachusetts, United States|Sage Investigational Site, Burlington, Massachusetts, United States|Sage Investigational Site, Lansing, Michigan, United States|Sage Investigational Site, Las Vegas, Nevada, United States|Sage Investigational Site, Charlotte, North Carolina, United States|Sage Investigational Site, Richmond, Virginia, United States|Sage Investigational Site, Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT04537806"
250,"Sigh Ventilation to Increase Ventilator-Free Days in Victims of Trauma at Risk for Acute Respiratory Distress Syndrome","Completed","No Results Available","Acute Respiratory Distress Syndrome","Other: Sigh breaths","All","18 Years to 89 Years   (Adult, Older Adult)","Not Applicable","524","October 8, 2022","UCSF Fresno Community Regional Medical Center, Fresno, California, United States|University of Southern California (LA County), Los Angeles, California, United States|University of California Davis Medical Center, Sacramento, California, United States|UC San Diego Medical Center, San Diego, California, United States|Christiana Care Health System, Newark, Delaware, United States|University of Maryland Medical System Shock Trauma Center, Baltimore, Maryland, United States|University of Michigan, Ann Arbor, Michigan, United States|Henry Ford Hospital, Detroit, Michigan, United States|Washington University in St. Louis, Saint Louis, Missouri, United States|Wake Forest Baptist Medical Center, Winston-Salem, North Carolina, United States|University Medical Center Brackenridge, Austin, Texas, United States|UT Southwestern (Parkland), Dallas, Texas, United States|University of Texas Medical School, Houston, Houston, Texas, United States|University of Utah, Salt Lake City, Utah, United States|Medical College of Wisconsin, Wauwatosa, Wisconsin, United States","https://ClinicalTrials.gov/show/NCT02582957"
251,"Hypertonic Saline With Dextran for Treating Hypovolemic Shock and Severe Brain Injury","Completed","No Results Available","Respiratory Distress Syndrome, Adult|Head Injuries, Closed|Shock|Shock, Traumatic","Drug: Hypertonic Saline-Dextran Solution|Drug: Lactated Ringer's Solution","All","18 Years and older   (Adult, Older Adult)","Not Applicable","209","March 2007","University of Washington, Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT00113685"
252,"Study Assessing Vagus Nerve Stimulation in CoViD-19 Respiratory Symptoms","Active, not recruiting","No Results Available","COVID|Corona Virus Infection|Respiratory Failure|Respiratory Distress Syndrome, Adult|ARDS, Human|SARS (Severe Acute Respiratory Syndrome)","Device: gammaCore® Sapphire (non-invasive vagus nerve stimulator)|Other: Standard of care therapies","All","18 Years and older   (Adult, Older Adult)","Not Applicable","21","December 1, 2023","AHN Allegheny General Hospital, Pittsburgh, Pennsylvania, United States|AHN West Penn Hospital, Pittsburgh, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT04382391"
253,"A Double Blind, Randomized, Controlled Study to Evaluate CHF 5633 (Synthetic Surfactant) and Poractant Alfa in Neonates With Respiratory Distress Syndrome (RDS) (POC)","Completed","Has Results","Respiratory Distress Syndrome, Newborn","Drug: CHF5633|Drug: Poractant alfa","All","1 Hour to 24 Hours   (Child)","Phase 2","123","May 24, 2018","University of South Alabama - USA Children's and Women's Hospital, Mobile, Alabama, United States|LAC + USC Medical Center, Keck School of Medicine, Los Angeles, California, United States|UC Irvine Medical Center, Orange, California, United States|Sharp Mary Birch Hospital, San Diego, California, United States|Connecticut Children's Medical Center, Hartford, Connecticut, United States|Plantation General Hospital (Sheridan Clinical Research, Inc.), Plantation, Florida, United States|Jatinder Bhatia, Augusta, Georgia, United States|Indiana University School of Medicine, Indianapolis, Indiana, United States|Memorial Hospital of South Bend, South Bend, Indiana, United States|University of Louisville Research Foundation, Inc., Louisville, Kentucky, United States|Floating Hospital for Children at Tufts Medical Center, Boston, Massachusetts, United States|Baystate Children's Hospital / Baystate Medical Center, Springfield, Massachusetts, United States|Winthrop University Hospital, Mineola, New York, United States|Kings County Hospital Center, New York, New York, United States|Sergio G. Golombek, Valhalla, New York, United States|Martha Naylor, Greenville, North Carolina, United States|Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States|Case Western Reserve University, Cleveland, Ohio, United States|Krishnamurthy Sekar, Oklahoma City, Oklahoma, United States|Hahnemann University Hospital, Philadelphia, Pennsylvania, United States|Texas Tech University Health Sciences Center, El Paso, Texas, United States|MultiCare Institute for Research & Innovation, Tacoma, Washington, United States|West Virginia University, Morgantown, West Virginia, United States","https://ClinicalTrials.gov/show/NCT02452476"
254,"A Study to Evaluate the Use of the Neotech RAM Nasal Cannula for CPAP and Bi-PAP Application in Infants 28-42 Weeks Gestation in a Neonatal Intensive Care Unit (NICU)","Terminated","No Results Available","Neonatal Respiratory Distress","Other: RAM Nasal Cannula","All","28 Weeks to 42 Weeks   (Child)","Not Applicable","14","July 8, 2021","Englewood Hospital and Medical Center, Englewood, New Jersey, United States","https://ClinicalTrials.gov/show/NCT04096235"
255,"Evaluation of the Clinical Impact of Corticosteroid Duration on SARS-CoV-2 (COVID-19 WHO)","Recruiting","No Results Available","Covid 19",,"All","18 Years and older   (Adult, Older Adult)",,"400","October 19, 2023","Methodist Dallas Medical Center, Dallas, Texas, United States","https://ClinicalTrials.gov/show/NCT05595031"
256,"Oscillatory Versus Non-oscillatory Nasal Continuous Airway Pressure Neonatal Respiratory Support","Withdrawn","No Results Available","Neonatal Respiratory Distress Related Conditions","Device: Regular Nasal CPAP using a conventional ventilator|Device: High Frequency Nasal CPAP","All","up to 4 Months   (Child)","Not Applicable","0","September 2026","UC Davis Health, Sacramento, California, United States","https://ClinicalTrials.gov/show/NCT03711565"
257,"A Phase 2 Study to Evaluate Axatilimab for Hospitalized Participants With Respiratory Involvement Secondary to COVID-19","Terminated","Has Results","Coronavirus|COVID|ARDS|Cytokine Storm|Cytokine Release Syndrome","Drug: SNDX-6352|Drug: Placebo","All","18 Years and older   (Adult, Older Adult)","Phase 2","1","July 13, 2020","HonorHealth, Scottsdale, Arizona, United States|Montefiore Medical Center, Bronx, New York, United States","https://ClinicalTrials.gov/show/NCT04415073"
